招录机关名称	招录职位名称	招录职位编码	缴费状况（缴费人数与招录名额的比例区间）
资中县	业务岗位（三）	26209099	< 5:1
资中县	业务岗位（四）	26209100	< 5:1
资中县	业务岗位（五）	26209101	< 5:1
资中县	业务岗位（六）	26209102	< 5:1
资中县	业务岗位（七）	26209103	< 5:1
资中县	业务岗位（八）	26209104	< 5:1
资中县	业务岗位（九）	26209105	< 5:1
资中县	业务岗位（十）	26209106	< 5:1
资中县	业务岗位（十一）	26209107	< 5:1
资中县	业务岗位（十二）	26209108	< 5:1
资中县	业务岗位（十三）	26209109	≥ 5:1 且 < 30:1
资中县	业务岗位（十四）	26209110	≥ 30:1 且 < 50:1
威远县	监督检查	26209111	< 5:1
威远县	劳动监察	26209112	< 5:1
威远县	工业发展服务	26209113	≥ 5:1 且 < 30:1
威远县	业务岗位	26209114	< 5:1
威远县	审批管理	26209115	< 5:1
威远县	财务管理	26209116	< 5:1
威远县	数据统计	26209117	≥ 5:1 且 < 30:1
威远县	文稿写作	26209118	< 5:1
威远县	法律督查	26209119	< 5:1
威远县	业务岗位	26209120	< 5:1
威远县	电商物流	26209121	< 5:1
威远县	医疗服务管理	26209122	< 5:1
威远县	财务管理	26209123	< 5:1
威远县	业务岗位	26209124	< 5:1
威远县	文稿写作	26209125	< 5:1
威远县	服务经济发展（一）	26209134	< 5:1
威远县	服务经济发展（二）	26209135	< 5:1
威远县	服务经济发展（三）	26209136	< 5:1
威远县	农业发展（一）	26209137	< 5:1
威远县	农业发展（二）	26209138	< 5:1
威远县	农业发展（三）	26209139	< 5:1
威远县	农业发展（四）	26209140	< 5:1
威远县	环境治理（一）	26209141	< 5:1
威远县	环境治理（二）	26209142	< 5:1
威远县	财务管理（一）	26209143	< 5:1
威远县	财务管理（二）	26209144	< 5:1
威远县	文稿写作（一）	26209145	≥ 5:1 且 < 30:1
威远县	文稿写作（二）	26209146	< 5:1
乐山市市中区	业务岗位	26210011	≥ 5:1 且 < 30:1
乐山市市中区	业务岗位	26210012	< 5:1
乐山市市中区	综合岗位	26210021	< 5:1
乐山市市中区	综合岗位	26210022	≥ 5:1 且 < 30:1
乐山市市中区	业务岗位	26210023	≥ 5:1 且 < 30:1
乐山市市中区	业务岗位	26210024	< 5:1
乐山市市中区	综合岗位	26210025	≥ 5:1 且 < 30:1
乐山市市中区	综合岗位	26210026	≥ 5:1 且 < 30:1
乐山市市中区	综合岗位	26210027	< 5:1
乐山市市中区	综合岗位	26210028	< 5:1
乐山市市中区	综合岗位	26210029	< 5:1
乐山市市中区	业务岗位	26210030	< 5:1
乐山市市中区	综合岗位	26210031	< 5:1
乐山市市中区	综合岗位	26210032	< 5:1
乐山市五通桥区	综合岗位	26210038	< 5:1
乐山市五通桥区	综合岗位	26210039	< 5:1
乐山市五通桥区	综合岗位	26210040	< 5:1
乐山市五通桥区	综合岗位	26210041	< 5:1
乐山市五通桥区	业务岗位	26210042	< 5:1
乐山市沙湾区	业务岗位	26210043	< 5:1
乐山市沙湾区	业务岗位	26210044	< 5:1
乐山市沙湾区	业务岗位	26210045	< 5:1
乐山市沙湾区	业务岗位	26210046	< 5:1
乐山市沙湾区	综合岗位	26210047	< 5:1
乐山市沙湾区	综合岗位	26210048	< 5:1
乐山市沙湾区	综合岗位	26210049	< 5:1
乐山市沙湾区	业务岗位	26210050	< 5:1
乐山市沙湾区	业务岗位	26210051	< 5:1
乐山市沙湾区	业务岗位	26210056	< 5:1
乐山市沙湾区	业务岗位	26210057	< 5:1
乐山市沙湾区	综合岗位	26210066	< 5:1
乐山市沙湾区	业务岗位	26210067	< 5:1
乐山市沙湾区	业务岗位	26210068	< 5:1
乐山市沙湾区	业务岗位	26210069	< 5:1
乐山市沙湾区	综合岗位	26210070	< 5:1
乐山市沙湾区	综合岗位	26210071	< 5:1
乐山市沙湾区	综合岗位	26210072	< 5:1
乐山市沙湾区	综合岗位	26210073	< 5:1
乐山市金口河区	综合岗位	26210077	< 5:1
乐山市金口河区	综合岗位	26210078	< 5:1
峨眉山市	业务岗位	26210079	< 5:1
峨眉山市	业务岗位	26210080	< 5:1
峨眉山市	业务岗位	26210081	< 5:1
峨眉山市	综合岗位	26210082	≥ 5:1 且 < 30:1
峨眉山市	业务岗位	26210083	< 5:1
峨眉山市	业务岗位	26210092	≥ 5:1 且 < 30:1
峨眉山市	业务岗位	26210093	≥ 5:1 且 < 30:1
峨眉山市	综合岗位	26210094	< 5:1
峨眉山市	业务岗位	26210095	≥ 5:1 且 < 30:1
峨眉山市	综合岗位	26210096	< 5:1
峨眉山市	业务岗位	26210097	< 5:1
峨眉山市	业务岗位	26210098	< 5:1
峨眉山市	综合岗位	26210099	< 5:1
峨眉山市	综合岗位	26210100	< 5:1
峨眉山市	业务岗位	26210101	< 5:1
峨眉山市	业务岗位	26210102	< 5:1
峨眉山市	业务岗位	26210103	< 5:1
峨眉山市	业务岗位	26210104	< 5:1
峨眉山市	业务岗位	26210105	< 5:1
峨眉山市	业务岗位	26210106	< 5:1
犍为县	业务岗位	26210107	< 5:1
犍为县	综合岗位	26210108	< 5:1
犍为县	综合岗位	26210109	< 5:1
犍为县	综合岗位	26210110	< 5:1
犍为县	业务岗位	26210111	< 5:1
犍为县	业务岗位	26210112	< 5:1
犍为县	综合岗位	26210113	< 5:1
犍为县	业务岗位	26210114	< 5:1
犍为县	业务岗位	26210115	< 5:1
犍为县	综合岗位	26210116	< 5:1
犍为县	综合岗位	26210117	< 5:1
犍为县	业务岗位	26210118	< 5:1
犍为县	综合岗位	26210119	< 5:1
犍为县	业务岗位	26210120	< 5:1
犍为县	业务岗位	26210121	< 5:1
犍为县	综合岗位	26210134	< 5:1
犍为县	综合岗位	26210135	< 5:1
犍为县	综合岗位	26210136	< 5:1
犍为县	综合岗位	26210137	< 5:1
犍为县	综合岗位	26210138	< 5:1
犍为县	综合岗位	26210139	< 5:1
犍为县	业务岗位	26210140	< 5:1
犍为县	业务岗位	26210141	< 5:1
犍为县	业务岗位	26210142	< 5:1
犍为县	业务岗位	26210143	< 5:1
犍为县	业务岗位	26210144	< 5:1
犍为县	业务岗位	26210145	< 5:1
犍为县	综合岗位	26210146	< 5:1
犍为县	综合岗位	26210147	< 5:1
井研县	业务岗位	26210148	≥ 5:1 且 < 30:1
井研县	业务岗位	26210149	≥ 5:1 且 < 30:1
井研县	业务岗位	26210150	< 5:1
井研县	业务岗位	26210151	< 5:1
井研县	业务岗位	26210152	< 5:1
井研县	业务岗位	26210153	< 5:1
井研县	业务岗位	26210154	< 5:1
井研县	业务岗位	26210155	< 5:1
井研县	综合岗位	26210156	< 5:1
井研县	业务岗位	26210157	< 5:1
井研县	业务岗位	26210158	< 5:1
井研县	业务岗位	26210159	< 5:1
井研县	业务岗位	26210160	< 5:1
井研县	业务岗位	26210161	< 5:1
井研县	业务岗位	26210162	< 5:1
井研县	业务岗位	26210163	≥ 5:1 且 < 30:1
井研县	业务岗位	26210164	< 5:1
井研县	业务岗位	26210165	< 5:1
井研县	业务岗位	26210166	< 5:1
井研县	业务岗位	26210167	< 5:1
井研县	业务岗位	26210168	< 5:1
井研县	业务岗位	26210169	< 5:1
井研县	业务岗位	26210170	< 5:1
井研县	业务岗位	26210171	< 5:1
井研县	业务岗位	26210173	< 5:1
井研县	业务岗位	26210174	< 5:1
井研县	业务岗位	26210175	< 5:1
井研县	业务岗位	26210176	< 5:1
井研县	业务岗位	26210177	< 5:1
井研县	业务岗位	26210178	< 5:1
井研县	业务岗位	26210179	< 5:1
井研县	业务岗位	26210180	< 5:1
井研县	业务岗位	26210181	< 5:1
井研县	业务岗位	26210182	< 5:1
井研县	综合岗位	26210183	< 5:1
井研县	综合岗位	26210184	< 5:1
夹江县	综合岗位	26210185	< 5:1
夹江县	业务岗位	26210196	< 5:1
夹江县	业务岗位	26210197	< 5:1
夹江县	业务岗位	26210198	< 5:1
夹江县	业务岗位	26210199	< 5:1
夹江县	业务岗位	26210200	< 5:1
夹江县	综合岗位	26210201	< 5:1
夹江县	综合岗位	26210202	< 5:1
夹江县	综合岗位	26210203	< 5:1
夹江县	综合岗位	26210204	< 5:1
夹江县	综合岗位	26210205	≥ 5:1 且 < 30:1
夹江县	综合岗位	26210206	≥ 5:1 且 < 30:1
夹江县	业务岗位	26210207	< 5:1
夹江县	业务岗位	26210208	< 5:1
沐川县	业务岗位	26210209	< 5:1
沐川县	业务岗位	26210210	< 5:1
沐川县	业务岗位	26210211	< 5:1
沐川县	业务岗位	26210212	< 5:1
沐川县	业务岗位	26210213	< 5:1
沐川县	业务岗位	26210214	< 5:1
沐川县	业务岗位	26210215	< 5:1
沐川县	业务岗位	26210216	< 5:1
沐川县	业务岗位	26210217	< 5:1
沐川县	业务岗位	26210218	< 5:1
沐川县	业务岗位	26210221	< 5:1
沐川县	业务岗位	26210222	< 5:1
沐川县	业务岗位	26210223	< 5:1
沐川县	业务岗位	26210224	< 5:1
沐川县	业务岗位	26210225	< 5:1
沐川县	业务岗位	26210226	< 5:1
沐川县	业务岗位	26210227	< 5:1
沐川县	业务岗位	26210228	< 5:1
沐川县	业务岗位	26210229	< 5:1
沐川县	业务岗位	26210230	< 5:1
沐川县	业务岗位	26210231	< 5:1
沐川县	业务岗位	26210232	< 5:1
沐川县	业务岗位	26210233	< 5:1
沐川县	业务岗位	26210234	< 5:1
沐川县	业务岗位	26210235	< 5:1
沐川县	业务岗位	26210236	< 5:1
峨边彝族自治县	业务岗位	26210237	< 5:1
峨边彝族自治县	业务岗位	26210242	< 5:1
峨边彝族自治县	业务岗位	26210243	< 5:1
峨边彝族自治县	业务岗位	26210244	< 5:1
峨边彝族自治县	业务岗位	26210245	< 5:1
峨边彝族自治县	业务岗位	26210246	< 5:1
峨边彝族自治县	综合岗位	26210247	< 5:1
峨边彝族自治县	综合岗位	26210248	< 5:1
峨边彝族自治县	综合岗位	26210249	< 5:1
峨边彝族自治县	综合岗位	26210250	< 5:1
峨边彝族自治县	综合岗位	26210251	< 5:1
峨边彝族自治县	综合岗位	26210252	< 5:1
峨边彝族自治县	综合岗位	26210253	< 5:1
马边彝族自治县	综合岗位	26210254	< 5:1
马边彝族自治县	综合岗位	26210255	< 5:1
马边彝族自治县	综合岗位	26210256	< 5:1
马边彝族自治县	综合岗位	26210257	≥ 5:1 且 < 30:1
马边彝族自治县	综合岗位	26210258	< 5:1
马边彝族自治县	业务岗位	26210259	< 5:1
马边彝族自治县	综合岗位	26210260	< 5:1
马边彝族自治县	业务岗位	26210261	< 5:1
马边彝族自治县	业务岗位	26210262	< 5:1
马边彝族自治县	综合岗位	26210274	< 5:1
马边彝族自治县	综合岗位	26210275	< 5:1
马边彝族自治县	综合岗位	26210276	< 5:1
马边彝族自治县	综合岗位	26210277	< 5:1
马边彝族自治县	综合岗位	26210278	< 5:1
马边彝族自治县	综合岗位	26210279	< 5:1
南充市顺庆区	工作人员	26211006	≥ 5:1 且 < 30:1
南充市顺庆区	工作人员	26211007	≥ 5:1 且 < 30:1
南充市顺庆区	工作人员	26211008	≥ 5:1 且 < 30:1
南充市顺庆区	工作人员	26211009	< 5:1
南充市顺庆区	工作人员	26211010	< 5:1
南充市顺庆区	工作人员	26211011	≥ 5:1 且 < 30:1
南充市顺庆区	工作人员	26211012	≥ 5:1 且 < 30:1
南充市顺庆区	工作人员	26211013	≥ 5:1 且 < 30:1
南充市顺庆区	工作人员	26211014	≥ 5:1 且 < 30:1
南充市顺庆区	工作人员	26211015	≥ 5:1 且 < 30:1
南充市顺庆区	工作人员	26211016	≥ 5:1 且 < 30:1
南充市顺庆区	工作人员	26211017	≥ 5:1 且 < 30:1
南充市顺庆区	工作人员	26211020	< 5:1
南充市顺庆区	工作人员	26211021	< 5:1
南充市顺庆区	工作人员	26211028	< 5:1
南充市顺庆区	工作人员	26211031	≥ 5:1 且 < 30:1
南充市顺庆区	工作人员	26211033	< 5:1
南充市顺庆区	工作人员	26211034	< 5:1
南充市顺庆区	工作人员	26211035	< 5:1
南充市顺庆区	工作人员	26211036	< 5:1
南充市高坪区	工作人员	26211037	≥ 5:1 且 < 30:1
南充市高坪区	工作人员	26211038	< 5:1
南充市高坪区	工作人员	26211045	< 5:1
南充市高坪区	工作人员	26211046	≥ 5:1 且 < 30:1
南充市高坪区	工作人员	26211047	≥ 5:1 且 < 30:1
南充市高坪区	工作人员	26211048	≥ 5:1 且 < 30:1
南充市高坪区	工作人员	26211049	< 5:1
南充市高坪区	工作人员	26211050	< 5:1
南充市高坪区	工作人员	26211051	< 5:1
南充市嘉陵区	工作人员	26211052	< 5:1
南充市嘉陵区	工作人员	26211053	< 5:1
南充市嘉陵区	工作人员	26211060	< 5:1
南充市嘉陵区	工作人员	26211061	< 5:1
南充市嘉陵区	工作人员	26211062	< 5:1
南充市嘉陵区	工作人员	26211063	< 5:1
南充市嘉陵区	工作人员	26211064	< 5:1
南充市嘉陵区	工作人员	26211065	< 5:1
阆中市	工作人员	26211066	≥ 5:1 且 < 30:1
阆中市	工作人员	26211067	≥ 5:1 且 < 30:1
阆中市	工作人员	26211068	< 5:1
阆中市	工作人员	26211069	≥ 5:1 且 < 30:1
阆中市	工作人员	26211070	< 5:1
阆中市	工作人员	26211071	< 5:1
阆中市	工作人员	26211072	< 5:1
阆中市	工作人员	26211074	< 5:1
阆中市	工作人员	26211075	< 5:1
阆中市	工作人员	26211076	< 5:1
阆中市	工作人员	26211077	≥ 5:1 且 < 30:1
阆中市	工作人员	26211078	< 5:1
阆中市	工作人员	26211079	< 5:1
阆中市	工作人员	26211080	< 5:1
阆中市	工作人员	26211081	< 5:1
阆中市	工作人员	26211082	< 5:1
阆中市	工作人员	26211084	< 5:1
阆中市	工作人员	26211092	< 5:1
阆中市	工作人员	26211093	< 5:1
阆中市	工作人员	26211094	< 5:1
阆中市	工作人员	26211095	< 5:1
阆中市	工作人员	26211096	< 5:1
阆中市	工作人员	26211097	< 5:1
南部县	工作人员	26211098	< 5:1
南部县	工作人员	26211099	≥ 5:1 且 < 30:1
南部县	工作人员	26211100	< 5:1
南部县	工作人员	26211101	≥ 5:1 且 < 30:1
南部县	工作人员	26211102	< 5:1
南部县	工作人员	26211103	< 5:1
南部县	工作人员	26211104	< 5:1
南部县	工作人员	26211109	< 5:1
南部县	工作人员	26211110	< 5:1
南部县	工作人员	26211111	< 5:1
南部县	工作人员	26211112	< 5:1
南部县	工作人员	26211113	< 5:1
南部县	工作人员	26211114	< 5:1
南部县	工作人员	26211115	< 5:1
南部县	工作人员	26211116	< 5:1
南部县	工作人员	26211117	< 5:1
南部县	工作人员	26211118	< 5:1
南部县	工作人员	26211119	< 5:1
南部县	工作人员	26211120	< 5:1
南部县	工作人员	26211130	< 5:1
南部县	工作人员	26211131	< 5:1
南部县	工作人员	26211132	< 5:1
南部县	工作人员	26211133	< 5:1
南部县	工作人员	26211134	< 5:1
南部县	工作人员	26211135	< 5:1
西充县	工作人员	26211136	< 5:1
西充县	工作人员	26211137	< 5:1
西充县	工作人员	26211138	< 5:1
西充县	工作人员	26211139	< 5:1
西充县	工作人员	26211140	< 5:1
西充县	工作人员	26211141	< 5:1
西充县	工作人员	26211142	< 5:1
西充县	工作人员	26211143	< 5:1
西充县	工作人员	26211144	< 5:1
西充县	工作人员	26211145	< 5:1
西充县	工作人员	26211146	< 5:1
西充县	工作人员	26211147	< 5:1
西充县	工作人员	26211149	< 5:1
西充县	工作人员	26211150	≥ 5:1 且 < 30:1
西充县	工作人员	26211151	≥ 5:1 且 < 30:1
西充县	工作人员	26211155	< 5:1
西充县	工作人员	26211156	< 5:1
西充县	工作人员	26211157	< 5:1
西充县	工作人员	26211158	< 5:1
西充县	工作人员	26211159	< 5:1
西充县	工作人员	26211163	< 5:1
西充县	工作人员	26211166	< 5:1
西充县	工作人员	26211168	< 5:1
西充县	工作人员	26211169	< 5:1
西充县	工作人员	26211170	< 5:1
西充县	工作人员	26211171	< 5:1
西充县	工作人员	26211172	< 5:1
西充县	工作人员	26211173	< 5:1
西充县	工作人员	26211174	< 5:1
西充县	工作人员	26211175	< 5:1
西充县	工作人员	26211176	< 5:1
西充县	工作人员	26211177	< 5:1
西充县	工作人员	26211178	< 5:1
仪陇县	工作人员	26211181	< 5:1
仪陇县	工作人员	26211197	< 5:1
仪陇县	工作人员	26211198	< 5:1
仪陇县	工作人员	26211199	< 5:1
仪陇县	工作人员	26211200	< 5:1
仪陇县	工作人员	26211201	< 5:1
仪陇县	工作人员	26211202	≥ 5:1 且 < 30:1
仪陇县	工作人员	26211203	< 5:1
仪陇县	工作人员	26211204	< 5:1
营山县	工作人员	26211205	< 5:1
营山县	工作人员	26211206	< 5:1
营山县	工作人员	26211208	< 5:1
营山县	工作人员	26211209	< 5:1
营山县	工作人员	26211210	< 5:1
营山县	工作人员	26211211	< 5:1
营山县	工作人员	26211212	< 5:1
营山县	工作人员	26211213	< 5:1
营山县	工作人员	26211214	≥ 5:1 且 < 30:1
营山县	工作人员	26211215	< 5:1
营山县	工作人员	26211216	< 5:1
营山县	工作人员	26211217	< 5:1
营山县	工作人员	26211218	< 5:1
营山县	工作人员	26211219	≥ 5:1 且 < 30:1
营山县	工作人员	26211225	< 5:1
营山县	工作人员	26211226	< 5:1
营山县	工作人员	26211227	< 5:1
营山县	工作人员	26211229	< 5:1
营山县	工作人员	26211233	< 5:1
营山县	工作人员	26211234	< 5:1
营山县	工作人员	26211235	< 5:1
营山县	工作人员	26211242	< 5:1
营山县	工作人员	26211243	< 5:1
营山县	工作人员	26211244	< 5:1
营山县	工作人员	26211245	< 5:1
营山县	工作人员	26211246	< 5:1
营山县	工作人员	26211247	< 5:1
营山县	工作人员	26211248	< 5:1
蓬安县	工作人员	26211249	< 5:1
蓬安县	工作人员	26211250	≥ 5:1 且 < 30:1
蓬安县	工作人员	26211251	< 5:1
蓬安县	工作人员	26211252	< 5:1
蓬安县	工作人员	26211253	≥ 5:1 且 < 30:1
蓬安县	工作人员	26211254	< 5:1
蓬安县	工作人员	26211255	< 5:1
蓬安县	工作人员	26211257	< 5:1
蓬安县	工作人员	26211258	< 5:1
蓬安县	工作人员	26211259	< 5:1
蓬安县	工作人员	26211260	< 5:1
蓬安县	工作人员	26211261	< 5:1
蓬安县	工作人员	26211262	< 5:1
蓬安县	工作人员	26211265	< 5:1
蓬安县	工作人员	26211266	< 5:1
蓬安县	工作人员	26211270	< 5:1
蓬安县	工作人员	26211272	< 5:1
蓬安县	工作人员	26211273	< 5:1
蓬安县	工作人员	26211274	< 5:1
蓬安县	工作人员	26211275	< 5:1
蓬安县	工作人员	26211276	< 5:1
蓬安县	工作人员	26211277	< 5:1
蓬安县	工作人员	26211278	< 5:1
蓬安县	工作人员	26211279	< 5:1
蓬安县	工作人员	26211280	< 5:1
蓬安县	工作人员	26211281	< 5:1
蓬安县	工作人员	26211282	< 5:1
达州市通川区	工作人员	26212026	< 5:1
达州市通川区	工作人员	26212027	< 5:1
达州市通川区	工作人员	26212028	< 5:1
达州市通川区	工作人员	26212029	< 5:1
达州市通川区	工作人员	26212030	< 5:1
达州市通川区	工作人员（一）	26212031	< 5:1
达州市通川区	工作人员（二）	26212032	< 5:1
达州市通川区	工作人员（三）	26212033	< 5:1
达州市通川区	工作人员（一）	26212034	< 5:1
达州市通川区	工作人员（二）	26212035	< 5:1
达州市通川区	工作人员	26212036	< 5:1
达州市通川区	工作人员	26212037	< 5:1
达州市通川区	工作人员	26212038	≥ 5:1 且 < 30:1
达州市通川区	工作人员	26212039	< 5:1
达州市通川区	工作人员	26212040	< 5:1
达州市通川区	工作人员	26212041	< 5:1
达州市通川区	工作人员	26212043	< 5:1
达州市通川区	工作人员	26212044	< 5:1
达州市通川区	工作人员	26212045	< 5:1
达州市通川区	工作人员（一）	26212046	< 5:1
达州市通川区	工作人员（二）	26212047	< 5:1
达州市通川区	工作人员	26212048	< 5:1
达州市通川区	工作人员	26212049	< 5:1
达州市通川区	工作人员（五）	26212057	< 5:1
达州市通川区	工作人员（六）	26212058	< 5:1
达州市通川区	工作人员（七）	26212059	< 5:1
达州市通川区	工作人员（八）	26212060	< 5:1
达州市通川区	工作人员（一）	26212061	< 5:1
达州市通川区	工作人员（二）	26212062	< 5:1
达州市通川区	工作人员	26212063	< 5:1
达州市通川区	工作人员	26212064	< 5:1
达州市通川区	工作人员	26212065	< 5:1
达州市通川区	工作人员（一）	26212066	< 5:1
达州市通川区	工作人员（二）	26212067	< 5:1
达州市达川区	工作人员	26212068	< 5:1
达州市达川区	工作人员	26212069	< 5:1
达州市达川区	工作人员	26212070	< 5:1
达州市达川区	工作人员	26212071	< 5:1
达州市达川区	工作人员（一）	26212072	< 5:1
达州市达川区	工作人员（二）	26212073	< 5:1
达州市达川区	工作人员	26212074	< 5:1
达州市达川区	工作人员	26212075	< 5:1
达州市达川区	工作人员（一）	26212076	< 5:1
达州市达川区	工作人员（二）	26212077	< 5:1
达州市达川区	工作人员（一）	26212078	< 5:1
达州市达川区	工作人员（二）	26212079	< 5:1
达州市达川区	工作人员（一）	26212080	< 5:1
达州市达川区	工作人员（二）	26212081	< 5:1
达州市达川区	工作人员	26212082	< 5:1
达州市达川区	工作人员	26212083	< 5:1
达州市达川区	工作人员	26212084	< 5:1
达州市达川区	工作人员（一）	26212085	< 5:1
达州市达川区	工作人员（二）	26212086	< 5:1
达州市达川区	工作人员	26212087	< 5:1
达州市达川区	工作人员	26212098	< 5:1
达州市达川区	工作人员	26212099	< 5:1
达州市达川区	工作人员	26212100	< 5:1
万源市	工作人员	26212101	< 5:1
万源市	工作人员	26212102	< 5:1
万源市	工作人员	26212103	< 5:1
万源市	工作人员	26212104	< 5:1
万源市	工作人员	26212105	< 5:1
万源市	工作人员	26212106	< 5:1
万源市	工作人员	26212107	< 5:1
万源市	工作人员	26212108	< 5:1
万源市	工作人员	26212109	≥ 5:1 且 < 30:1
万源市	工作人员	26212110	< 5:1
万源市	工作人员	26212111	< 5:1
万源市	工作人员	26212112	< 5:1
万源市	工作人员	26212113	< 5:1
万源市	工作人员	26212114	< 5:1
万源市	工作人员（一）	26212115	< 5:1
万源市	工作人员（二）	26212116	< 5:1
万源市	工作人员	26212117	< 5:1
万源市	工作人员	26212118	< 5:1
万源市	工作人员	26212119	< 5:1
万源市	工作人员	26212120	< 5:1
万源市	工作人员	26212121	< 5:1
万源市	工作人员	26212122	< 5:1
万源市	工作人员	26212123	< 5:1
万源市	工作人员	26212124	≥ 5:1 且 < 30:1
万源市	工作人员	26212125	< 5:1
万源市	工作人员	26212126	< 5:1
万源市	工作人员	26212127	< 5:1
万源市	工作人员	26212128	< 5:1
万源市	工作人员	26212129	≥ 5:1 且 < 30:1
万源市	工作人员	26212130	< 5:1
万源市	工作人员	26212131	< 5:1
万源市	工作人员（一）	26212132	≥ 5:1 且 < 30:1
万源市	工作人员（二）	26212133	≥ 5:1 且 < 30:1
万源市	工作人员（三）	26212134	≥ 5:1 且 < 30:1
宣汉县	工作人员（一）	26212135	< 5:1
宣汉县	工作人员（二）	26212136	< 5:1
宣汉县	工作人员	26212137	< 5:1
宣汉县	工作人员	26212138	< 5:1
宣汉县	工作人员	26212139	< 5:1
宣汉县	工作人员	26212140	< 5:1
宣汉县	工作人员	26212141	< 5:1
宣汉县	工作人员	26212142	< 5:1
宣汉县	工作人员	26212143	< 5:1
宣汉县	工作人员	26212144	< 5:1
宣汉县	工作人员（一）	26212145	< 5:1
宣汉县	工作人员（二）	26212146	< 5:1
宣汉县	工作人员	26212147	< 5:1
宣汉县	工作人员	26212148	< 5:1
宣汉县	工作人员	26212149	< 5:1
宣汉县	工作人员	26212150	< 5:1
宣汉县	工作人员	26212151	< 5:1
宣汉县	工作人员	26212152	< 5:1
宣汉县	工作人员（一）	26212153	< 5:1
宣汉县	工作人员（二）	26212154	< 5:1
宣汉县	工作人员（三）	26212155	< 5:1
宣汉县	工作人员（四）	26212156	< 5:1
宣汉县	工作人员（一）	26212157	< 5:1
宣汉县	工作人员（二）	26212158	< 5:1
宣汉县	工作人员（三）	26212159	< 5:1
宣汉县	工作人员（四）	26212160	< 5:1
宣汉县	工作人员（一）	26212161	< 5:1
宣汉县	工作人员（二）	26212162	< 5:1
宣汉县	工作人员（三）	26212163	< 5:1
宣汉县	工作人员（四）	26212164	< 5:1
宣汉县	工作人员（五）	26212165	< 5:1
宣汉县	工作人员（六）	26212166	< 5:1
宣汉县	工作人员（七）	26212167	≥ 5:1 且 < 30:1
大竹县	业务岗位	26212168	< 5:1
大竹县	业务岗位	26212169	< 5:1
大竹县	业务岗位	26212170	< 5:1
大竹县	业务岗位	26212171	< 5:1
大竹县	业务岗位	26212172	< 5:1
大竹县	业务岗位	26212173	< 5:1
大竹县	业务岗位	26212174	< 5:1
大竹县	业务岗位	26212175	< 5:1
大竹县	业务岗位	26212176	< 5:1
大竹县	业务岗位	26212177	< 5:1
大竹县	业务岗位	26212178	< 5:1
大竹县	业务岗位	26212179	< 5:1
大竹县	业务岗位	26212180	< 5:1
大竹县	业务岗位	26212181	< 5:1
大竹县	业务岗位（一）	26212198	< 5:1
大竹县	业务岗位（二）	26212199	< 5:1
大竹县	业务岗位（三）	26212200	< 5:1
大竹县	业务岗位（四）	26212201	< 5:1
大竹县	业务岗位	26212202	< 5:1
大竹县	业务岗位（一）	26212203	< 5:1
大竹县	业务岗位（二）	26212204	< 5:1
大竹县	业务岗位	26212205	< 5:1
大竹县	业务岗位（一）	26212206	< 5:1
大竹县	业务岗位（二）	26212207	< 5:1
大竹县	业务岗位（三）	26212208	< 5:1
大竹县	业务岗位（四）	26212209	< 5:1
大竹县	业务岗位（五）	26212210	< 5:1
大竹县	业务岗位（六）	26212211	< 5:1
大竹县	业务岗位（七）	26212212	< 5:1
大竹县	业务岗位（八）	26212213	< 5:1
大竹县	业务岗位（九）	26212214	< 5:1
大竹县	业务岗位（十）	26212215	< 5:1
大竹县	业务岗位（十一）	26212216	< 5:1
大竹县	业务岗位（十二）	26212217	< 5:1
渠县	业务岗位	26212218	< 5:1
渠县	业务岗位	26212219	< 5:1
渠县	业务岗位	26212220	< 5:1
渠县	业务岗位	26212221	< 5:1
渠县	业务岗位	26212222	< 5:1
渠县	业务岗位	26212223	< 5:1
渠县	业务岗位	26212224	< 5:1
渠县	业务岗位	26212225	< 5:1
渠县	业务岗位	26212226	< 5:1
渠县	工作人员	26212227	< 5:1
渠县	工作人员	26212228	≥ 5:1 且 < 30:1
渠县	业务岗位	26212229	< 5:1
渠县	工作人员	26212230	< 5:1
渠县	业务岗位	26212231	< 5:1
渠县	业务岗位	26212232	< 5:1
渠县	工作人员（一）	26212238	< 5:1
渠县	工作人员（二）	26212239	< 5:1
渠县	工作人员（三）	26212240	< 5:1
渠县	工作人员（一）	26212241	< 5:1
渠县	工作人员（二）	26212242	< 5:1
渠县	工作人员（三）	26212243	< 5:1
渠县	工作人员（四）	26212244	< 5:1
渠县	工作人员（五）	26212245	< 5:1
渠县	工作人员（六）	26212246	< 5:1
渠县	工作人员（七）	26212247	≥ 30:1 且 < 50:1
渠县	工作人员（八）	26212248	≥ 30:1 且 < 50:1
开江县	工作人员	26212249	< 5:1
开江县	工作人员（一）	26212250	< 5:1
开江县	工作人员（二）	26212251	< 5:1
开江县	工作人员（一）	26212252	< 5:1
开江县	工作人员（二）	26212253	< 5:1
开江县	工作人员	26212254	< 5:1
开江县	工作人员	26212255	< 5:1
开江县	工作人员	26212256	≥ 5:1 且 < 30:1
开江县	工作人员	26212257	< 5:1
开江县	工作人员	26212258	< 5:1
开江县	工作人员（一）	26212259	< 5:1
开江县	工作人员（二）	26212260	< 5:1
开江县	工作人员	26212261	< 5:1
开江县	工作人员	26212262	≥ 5:1 且 < 30:1
开江县	工作人员（一）	26212263	< 5:1
开江县	工作人员（二）	26212264	< 5:1
